Word,Abbrev
ETF,e
\\(R\\),
\\(SM\\),
Inc ,
Corp,
Ltd,
Holdings,
Warrants,wrt
Group,
ISHARES,
Fund,
Trust,Tr
Acquisition,aq
Corporation,
Company,
International,Itl
INTERNATIONAL,Itl
Technologies,Tch
Class A,[A]
Class B,[B]
ISHARES,
 - ,
Group,Gp
U.S.,US
Fund,
Units,
Daily,dly
INCOME,INC
FUND,
Capital,Cpt
Financial,Fcl
VANGUARD,VG
JPMORGAN ,JPM
PROSHARES,PROS
FIDELITY,FDL
Opportunities,Op
STATE STREET,StSt
SELECT,
SECTOR,Sctr
SPDR,
S\\&P 500,SPX
AND,&
Income,Incm
EMERGING MARKETS,EM
MSCI,
USA,US
